ID,NU_NOTA_LC
0,502.00583
1,581.5561
2,513.1659
3,468.79074
4,527.46216
5,566.1626
6,496.13956
7,477.36978
8,493.32825
9,615.5196
10,607.864
11,571.66547
12,465.3789
13,593.9945
14,448.38342
15,458.09412
16,619.7036
17,601.89813
18,534.3276
19,522.59906
20,496.87927
21,592.3151
22,571.3063
23,481.85043
24,470.23315
25,566.7614
26,439.96863
27,535.8323
28,427.52124
29,461.38644
30,526.1359
31,614.76666
32,577.83905
33,556.3333
34,547.03827
35,464.84558
36,481.83545
37,515.8733
38,516.51776
39,503.23254
40,482.30783
41,531.3983
42,537.3149
43,444.87076
44,653.152
45,441.7638
46,490.26743
47,468.9553
48,448.92706
49,537.2617
50,463.91553
51,463.65134
52,519.78845
53,538.42035
54,559.91473
55,562.90106
56,473.0442
57,516.8887
58,539.01245
59,607.0796
60,521.8563
61,461.0456
62,451.99075
63,524.24866
64,533.0688
65,438.7809
66,526.72925
67,463.7467
68,453.53534
69,529.1187
70,544.0506
71,592.8037
72,510.58643
73,510.12274
74,584.0579
75,487.74432
76,499.59164
77,473.53995
78,570.7864
79,584.88135
80,504.93704
81,565.2974
82,478.62762
83,466.46667
84,479.07138
85,535.9501
86,491.3932
87,514.3143
88,461.8965
89,480.55984
90,492.12106
91,503.56873
92,564.1497
93,468.08807
94,579.58813
95,610.8547
96,508.25162
97,468.84528
98,504.0209
99,529.93445
100,603.0407
101,515.80096
102,542.45154
103,604.79584
104,534.5263
105,634.47363
106,626.5802
107,584.16125
108,462.6958
109,636.81836
110,550.04895
111,476.89368
112,515.4436
113,624.78485
114,483.50406
115,486.94965
116,500.3291
117,532.88336
118,596.7313
119,553.1275
120,530.91156
121,496.49936
122,496.36526
123,614.62415
124,497.7677
125,574.24225
126,495.7522
127,482.34302
128,519.5478
129,538.1069
130,525.6886
131,475.7921
132,574.4034
133,490.80786
134,514.5677
135,563.04205
136,590.4758
137,508.3544
138,462.35037
139,482.32025
140,491.03897
141,501.70193
142,495.70715
143,522.6352
144,534.1323
145,602.4047
146,670.6924
147,562.0623
148,500.3038
149,578.23224
150,622.06555
151,469.34592
152,601.2057
153,529.2003
154,545.6705
155,564.9027
156,461.0845
157,490.31696
158,467.1948
159,626.41986
160,614.48254
161,632.735
162,594.3119
163,437.341
164,450.42328
165,506.99997
166,552.80457
167,565.2539
168,583.0557
169,590.69995
170,601.1334
171,427.0405
172,599.3669
173,468.43503
174,576.5877
175,476.4858
176,595.15686
177,515.7645
178,570.66724
179,558.9176
180,480.66797
181,506.1665
182,510.40683
183,510.89255
184,500.2308
185,582.8288
186,495.99606
187,624.1979
188,495.55392
189,492.5028
190,525.49536
191,485.40344
192,523.86835
193,609.18567
194,584.2412
195,530.8895
196,478.2869
197,585.4547
198,529.59314
199,548.2723
200,465.02106
201,614.9986
202,556.1758
203,441.96646
204,544.67993
205,444.67966
206,537.206
207,448.62543
208,582.3318
209,619.3024
210,483.3006
211,531.26166
212,543.9626
213,475.01147
214,529.45575
215,600.0913
216,570.73096
217,481.5507
218,550.69763
219,552.927
220,524.0366
221,471.14862
222,526.2977
223,529.0276
224,496.04373
225,537.5578
226,568.2819
227,607.0439
228,621.5634
229,574.4474
